星5段階評価,店名,住所,Dinner,Lunch,項目,緯度,経度,現在地からの距離(km),現在地点からの徒歩(分),声の大きさ
3.34,Cabana（カバナ）,東京都足立区千住3-68-20,6999,1499,スペイン料理,35.751335,139.803787,13.532,202.98,3.0
3.26,チャンパネリア くいものや BAR 北千住店（【旧店名】バンブウバア（BamBooBar））,東京都足立区千住2-36 河村ビル 1F,4499,4499,スペイン料理,35.749161,139.801788,13.829,207.435,3.0
3.28,スペインバル ソルマヨール（SPAINBAR Sol Mayor）,東京都足立区千住2-45-10,6999,6999,スペイン料理,35.749073,139.802841,13.767,206.505,3.0
3.45,ボケロナ（boquerona）,東京都足立区千住1-31-8,6999,1499,スペイン料理,35.748196,139.80368,13.78,206.7,3.0
3.14,食彩Kikumizu（キクミズ）,東京都足立区千住1-33-11,3499,0,スペイン料理,35.747631,139.803818,13.815,207.225,3.0
3.21,洋食堂（ヨウショクドウ）,東京都足立区千住2-10-9,6999,999,スペイン料理,35.749676,139.80101,13.841,207.61499999999998,3.0
3.0,黄鶴楼 餃子酒場,東京都足立区綾瀬2-24-4 幸和ハイツ 1F,0,0,刀削麺,35.761497,139.826324,11.289,169.335,1.5
3.05,台湾料理 海鮮館（海鮮館酒場）,東京都墨田区東向島5-7-15 1F,0,999,刀削麺,35.725266,139.820068,14.771,221.565,1.5
3.13,天福 餃子酒場,東京都墨田区東向島5-7-15,0,999,刀削麺,35.725266,139.820068,14.771,221.565,1.5
3.16,旨いもん屋 ごち,千葉県柏市南柏1-2-8,2499,0,スペイン料理,35.844387,139.952713,3.746,56.19,3.0
3.34,華記食府（カキショクフ）,千葉県松戸市新松戸2-121 グランドプラザ新松戸駅前 1F,2499,999,刀削麺,35.824654,139.919479,1.268,19.02,1.5
