点数,店名,星5段階評価,価格,項目,現在地点からの徒歩(分),声の大きさ,緯度,経度
3.3139999999999996,華記食府 （カキショクフ）,1.0139999999999993,1.2,刀削麺,1.1,7.5,35.824654,139.919479
2.256445566561324,ボケロナ （boquerona）,1.3,0.8397598398932621,スペイン料理,0.11668572666806185,2.0,35.748196,139.80368
1.9922465419424247,洋食堂 （ヨウショクドウ）,0.6759999999999997,1.2,スペイン料理,0.11624654194242509,2.0,35.749676,139.80101
1.972271876795364,Cabana （カバナ）,1.0139999999999993,0.8397598398932621,スペイン料理,0.11851203690210271,2.0,35.751335,139.803787
1.7779999999999996,天福 餃子酒場,0.4679999999999996,1.2,刀削麺,0.11000000000000001,7.5,35.725266,139.820068
1.5699999999999996,台湾料理 海鮮館 （海鮮館酒場）,0.2599999999999995,1.2,刀削麺,0.11000000000000001,7.5,35.725266,139.820068
1.2821459246516376,チャンパネリア くいものや BAR 北千住店 （【旧店名】バンブウバア（BamBooBar））,0.8059999999999992,0.35981329184263167,スペイン料理,0.1163326328090066,2.0,35.749161,139.801788
1.049611914917644,旨いもん屋 ごち,0.5460000000000003,0.12,スペイン料理,0.3836119149176436,2.0,35.844387,139.952713
0.7304332611814338,食彩Kikumizu （キクミズ）,0.49400000000000016,0.12,スペイン料理,0.1164332611814337,2.0,35.747631,139.803818
0.3886746069893347,黄鶴楼 餃子酒場,0.13,0.12,刀削麺,0.1386746069893347,7.5,35.761497,139.826324
